Id,NameHCR,RSSDHCR,Excl_Specialty,Excl_Foreign,Excl_Nocore,Excl_Noloans,Excl_Credit,CERT,NameFull,Address,City,Stalp,Zip,Stcnty,Year,Callym,CB,Asset,HCAsset,Size,ForAsset,LoanToAsset,CoreRatio,Max_Deposits,Office_Count,LARGE_CBSAS,State_Count,Business_Line,Meets_LTA,Meets_Core,Meets_Deposits,Meets_Offices,Meets_LrgMSA,Meets_States,Run_Date
57807,QUONTIC BANK ACQUISITION CORP,0004098537,0,0,0,0,0,57807,QUONTIC BANK,3105 BROADWAY,ASTORIA,NY,11106,36081,2023,202312,1,"6,21,668",621668,S,,71.14%,83.89%,"4,66,709",1,1,1,MORTGAGE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57813,STERLING BANCSHARES INC,0003283587,0,0,0,0,0,57813,STERLING BANK,1100 STERLING DR,POPLAR BLUFF,MO,63901,29023,2023,202312,1,"13,83,381",1383381,S,,66.35%,86.56%,"3,07,491",14,4,3,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57815,,,0,1,0,0,0,57815,BANESCO USA,3155 NW 77 AVE.,MIAMI,FL,33122,12086,2023,202312,0,"38,08,125",3808125,L,12.88%,74.73%,51.98%,"21,32,651",6,2,2,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,0,0,0,0,0,0,20240321
57825,TRUXTON CORP,0003925065,0,0,0,0,0,57825,TRUXTON TRUST COMPANY,4525 HARDING PIKE,NASHVILLE,TN,37205,47037,2023,202312,1,"9,53,645",953645,S,,68.32%,65.50%,"7,86,547",1,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
3818804,BEAL FINANCIAL CORP,0003818804,1,0,0,0,0,57833,BEAL BANK USA,1970 VILLAGE CTR. CIR,LAS VEGAS,NV,89134,32003,2023,202312,0,"2,19,81,385",27687212,L,,12.67%,6.08%,"1,22,38,652",22,17,12,NO LENDING SPECIALTY,0,0,0,0,0,0,20240321
3212091,NEW YORK PRIVATE B&T CORP,0003212091,0,0,0,0,0,57834,EMIGRANT MERCANTILE BANK,6 E 43RD ST,NEW YORK,NY,10017,36061,2023,202312,1,"3,433",6264990,L,,73.68%,71.95%,"37,292",7,2,2,NO LENDING SPECIALTY,1,1,1,1,1,1,20240321
57841,VALLIANCE FINANCIAL CORP,0003447400,0,0,0,0,0,57841,VALLIANCE BANK,1601 NW EXPWY.,OKLAHOMA CITY,OK,73118,40109,2023,202312,1,"6,21,957",621957,S,,85.55%,68.65%,"2,69,249",5,2,2,MULTI SPECIALTY LENDER,NA,NA,NA,NA,NA,NA,20240321
57849,,,0,0,0,1,0,57849,PIONEER COMMERCIAL BANK,652 ALBANY SHAKER RD,ALBANY,NY,12211,36001,2023,202312,0,"4,62,839",462839,S,,0.00%,88.93%,"4,32,082",1,1,1,NO LENDING SPECIALTY,0,0,0,0,0,0,20240321
57857,TIMBERLINE BCORP,0003282713,0,0,0,0,0,57857,TIMBERLINE BANK,649 MARKET ST,GRAND JUNCTION,CO,81505,08077,2023,202312,1,"7,28,621",728621,S,,74.55%,82.84%,"4,53,299",3,,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57867,UNITED CITIZENS BCORP INC,0003370085,0,0,0,0,0,57867,UNITED CITIZENS BANK OF SOUTHERN KENTUCKY,700 JAMESTOWN ST,COLUMBIA,KY,42728,21001,2023,202312,1,"2,31,294",231294,S,,83.91%,86.01%,"90,482",6,,1,MORTGAGE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57869,,,0,0,0,0,0,57869,"1ST TRUST BANK, INC.",44 COMMERCE DR,HAZARD,KY,41701,21193,2023,202312,1,"2,88,808",288808,S,,75.42%,80.48%,"1,23,354",4,,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57872,PACIFIC WEST BCORP,0005784930,0,0,0,0,0,57872,PACIFIC WEST BANK,2040 8TH AVE,WEST LINN,OR,97068,41005,2023,202312,1,"3,20,232",320232,S,,76.55%,67.47%,"1,81,510",2,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57873,CBB BCORP INC,0005124938,0,0,0,0,0,57873,COMMONWEALTH BUSINESS BANK,3435 WILSHIRE BLVD,LOS ANGELES,CA,90010,06037,2023,202312,1,"17,60,375",1760375,S,,79.92%,76.11%,"5,86,839",10,3,3,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57874,PARAGON FINL SOLUTIONS INC,0004645324,0,0,0,0,0,57874,PARAGON BANK,5400 POPLAR AVE,MEMPHIS,TN,38119,47157,2023,202312,1,"7,51,954",751954,S,,86.73%,68.83%,"4,38,815",9,2,4,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57882,,,0,0,0,0,0,57882,LEGACY STATE BANK,3825 HARRISON RD,LOGANVILLE,GA,30052,13135,2023,202312,1,"1,58,194",158194,S,,67.91%,85.06%,"1,29,961",1,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57884,PARAMOUNT FINANCIAL GROUP LLC,0005119363,0,0,0,0,0,57884,PARAMOUNT BANK,90 VILLAGE SQ. SHOP CTR,HAZELWOOD,MO,63042,29189,2023,202312,1,"94,563",94563,S,,82.13%,53.85%,"64,780",1,1,1,MORTGAGE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
1857108,HSBC HOLDINGS PLC,0001857108,0,0,0,0,0,57890,"HSBC BANK USA, NATIONAL ASSOCIATION",1800 TYSONS BLVD,TYSONS,VA,22102,51059,2023,202312,0,"16,51,71,605",165229105,L,0.00%,33.72%,64.56%,"9,29,61,751",41,9,8,NO LENDING SPECIALTY,1,1,0,1,0,0,20240321
57892,VISION BANK HOLDINGS INC,0003270037,0,0,0,0,0,57892,VISIONBANK,3000 25TH ST S,FARGO,ND,58103,38017,2023,202312,1,"2,64,749",264749,S,,78.46%,85.02%,"1,75,026",3,,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57897,SOUTH PORTE FINANCIAL INC,0004456593,0,0,0,0,0,57897,SOUTHERNTRUST BANK,701 N COURT ST,MARION,IL,62959,17199,2023,202312,1,"2,74,028",274028,S,,71.25%,72.45%,"65,120",3,,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57899,BANC INVESTORS LLC,0004526496,0,0,0,0,0,57899,1ST ADVANTAGE BANK,240 SALT LICK RD,SAINT PETERS,MO,63376,29183,2023,202312,1,"1,52,151",152151,S,,90.00%,87.15%,"1,29,432",1,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57901,ONE WORLD HOLDING INC,0003311109,0,0,0,0,0,57901,ONE WORLD BANK,2449 WALNUT HILL LN,DALLAS,TX,75229,48113,2023,202312,1,"2,19,005",219005,S,,61.89%,79.85%,"1,20,996",3,2,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57903,BIG POPPY HOLDINGS INC,0003602245,0,0,0,0,0,57903,POPPY BANK,438 1ST ST,SANTA ROSA,CA,95401,06097,2023,202312,0,"58,98,431",5898431,L,,63.42%,60.07%,"19,65,147",26,5,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,1,1,1,1,0,1,20240321
1139327,READLYN BANCSHARES INC,0001139327,0,0,0,0,0,57910,FIRST STATE BANK,401 MAIN ST,NASHUA,IA,50658,19037,2023,202312,1,"64,943",330068,S,,66.01%,77.60%,"99,167",5,,1,MULTI SPECIALTY LENDER,NA,NA,NA,NA,NA,NA,20240321
57915,TOWNSEND HOLDING CO,0004446521,0,0,0,0,0,57915,BANK OF GRAND LAKE,201 E 18TH ST,GROVE,OK,74344,40041,2023,202312,1,"2,40,951",240951,S,,61.04%,81.81%,"1,82,369",2,,1,NO LENDING SPECIALTY,NA,NA,NA,NA,NA,NA,20240321
